nohup: ignoring input
 INFO  Accepting connections at http://localhost:8080
 HTTP  9/7/2025 1:18:13 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 1:33:45 PM 124.198.132.121 GET /
 HTTP  9/7/2025 1:33:45 PM 124.198.132.121 Returned 200 in 1 ms
 HTTP  9/7/2025 1:34:31 PM 45.156.87.179 GET /
 HTTP  9/7/2025 1:34:31 PM 45.156.87.179 Returned 200 in 1 ms
 HTTP  9/7/2025 1:35:09 PM 127.0.0.1 GET /
 HTTP  9/7/2025 1:35:09 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 1:35:10 PM 127.0.0.1 GET /css/chunk-vendors.03d44498.css
 HTTP  9/7/2025 1:35:10 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 1:35:10 PM 127.0.0.1 GET /js/chunk-vendors.0059c332.js
 HTTP  9/7/2025 1:35:10 PM 127.0.0.1 GET /css/app.74787057.css
 HTTP  9/7/2025 1:35:10 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  9/7/2025 1:35:10 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 1:35:10 PM 127.0.0.1 GET /js/app.e2f12930.js
 HTTP  9/7/2025 1:35:10 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  9/7/2025 1:35:12 PM 127.0.0.1 GET /img/LoginPage.596311b2.png
 HTTP  9/7/2025 1:35:12 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  9/7/2025 1:35:12 PM 127.0.0.1 GET /favicon.ico
 HTTP  9/7/2025 1:35:12 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 1:35:17 PM 127.0.0.1 GET /favicon.ico
 HTTP  9/7/2025 1:35:17 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 1:42:38 PM 45.135.193.253 GET /
 HTTP  9/7/2025 1:42:38 PM 45.135.193.253 Returned 200 in 1 ms
 HTTP  9/7/2025 2:31:38 PM 196.251.73.24 GET /login
 HTTP  9/7/2025 2:31:38 PM 196.251.73.24 Returned 200 in 1 ms
 HTTP  9/7/2025 2:43:34 PM 127.0.0.1 GET /
 HTTP  9/7/2025 2:43:34 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 3:11:50 PM 127.0.0.1 GET /robots.txt
 HTTP  9/7/2025 3:11:50 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 3:11:50 PM 127.0.0.1 GET /
 HTTP  9/7/2025 3:11:50 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 3:20:33 PM 35.216.163.139 GET /
 HTTP  9/7/2025 3:20:33 PM 35.216.163.139 Returned 200 in 2 ms
 HTTP  9/7/2025 3:20:33 PM 35.216.163.139 GET /
